一级知识点,二级知识点,三级知识点,定义,特性/运算方式,知识点编号
1,集合与常用逻辑用语,,高中数学的基础语言工具，贯穿整个数学学习过程,为函数、不等式等后续内容奠定基础,
1.1,,集合的概念与表示,研究对象的总体,确定性、互异性、无序性,
1.1.1,,,集合的含义,元素三特性：确定性、互异性、无序性,1.1.1
1.1.2,,,集合的表示方法,列举法、描述法、区间表示法,1.1.2
1.2,,集合间的基本关系,集合之间的包含关系,子集、真子集、相等,
1.2.1,,,子集,A中任意元素都属于B，则A是B的子集,包含、真包含,1.2.1
1.2.2,,,真子集,A是B的子集且A≠B,真包含于,1.2.2
1.2.3,,,集合相等,互为子集则相等,A=B⇔A⊆B且B⊆A,1.2.3
1.2.4,,,空集,不含任何元素的集合,是任何集合的子集,1.2.4
1.3,,集合的基本运算,集合间的运算操作,并、交、补,
1.3.1,,,并集,属于A或属于B的元素组成的集合,A∪B，或关系,1.3.1
1.3.2,,,交集,属于A且属于B的元素组成的集合,A∩B，且关系,1.3.2
1.3.3,,,补集,全集中不属于A的元素组成的集合,∁UA，相对全集,1.3.3
1.3.4,,,运算律,并交补的运算规律,德摩根律、分配律,1.3.4
1.4,,充分条件与必要条件,命题之间的逻辑关系,推出关系,
1.4.1,,,命题,可以判断真假的陈述句,若p则q的形式,1.4.1
1.4.2,,,充分条件,p⇒q则p是q的充分条件,有p足够推出q,1.4.2
1.4.3,,,必要条件,p⇒q则q是p的必要条件,p成立必须要有q,1.4.3
1.4.4,,,充要条件,p⇔q则互为充要条件,充分且必要,1.4.4
1.4.5,,,条件关系的集合表示,用集合包含关系表示条件,小范围推大范围,1.4.5
1.4.6,,,全称量词与存在量词,∀任意、∃存在,命题的否定,1.4.6
2,一元二次函数、方程和不等式,,函数与方程、不等式的基础关系,求解各类不等式的基础,
2.1,,等式性质与不等式性质,比较大小的基本方法,作差法,
2.1.1,,,不等式的概念,表示大小关系的式子,严格/非严格不等式,2.1.1
2.1.2,,,实数大小比较,a-b>0⇔a>b,作差法四步骤,2.1.2
2.1.3,,,不等式的基本性质,对称、传递、可加、可乘,乘负数变号,2.1.3
2.2,,基本不等式,算术平均数≥几何平均数,求最值的重要工具,
2.2.1,,,基本不等式的内容,"√ab≤(a+b)/2(a,b>0)",算术-几何平均不等式,2.2.1
2.2.2,,,基本不等式的适用条件,一正二定三相等,正数、定值、等号可取,2.2.2
2.2.3,,,基本不等式的变形,和定积最大、积定和最小,a+b≥2√ab,2.2.3
2.2.4,,,基本不等式的推广,n个正数的算术-几何平均不等式,均值不等式链,2.2.4
2.2.5,,,利用基本不等式求最值,构造定值应用基本不等式,积定和最小、和定积最大,2.2.5
2.3,,二次函数与一元二次方程、不等式,二次问题的统一处理,函数图像法,
2.3.1,,,一元二次不等式的概念,只含一个未知数且次数为2的不等式,ax²+bx+c>0形式,2.3.1
2.3.2,,,二次函数与方程、不等式的关系,判别式Δ=b²-4ac决定根的情况,函数图像与x轴交点,2.3.2
2.3.3,,,一元二次不等式的解法,标准化、求根、画图、定解,大于取两边小于取中间,2.3.3
2.3.4,,,含参数的一元二次不等式,讨论系数、判别式、根的大小,分类讨论思想,2.3.4
2.3.5,,,分式不等式与高次不等式,转化为整式不等式求解,穿根法（数轴标根法）,2.3.5
3,函数的概念与性质,,函数是描述变化关系的数学模型,整个高中数学的核心内容,
3.1,,函数的概念及其表示,变量之间的对应关系,定义域、值域、对应法则,
3.1.1,,,函数的定义,非空数集间的确定对应关系,函数三要素,3.1.1
3.1.2,,,函数的相等,定义域相同且对应关系相同,值域随之确定,3.1.2
3.1.3,,,区间的概念,表示连续实数范围的符号,开区间、闭区间,3.1.3
3.1.4,,,函数的定义域求法,分式、根式、对数的限制,实际问题限制,3.1.4
